"Assay"	"Sample Characteristic[organism]"	"Sample Characteristic Ontology Term[organism]"	"Sample Characteristic[individual]"	"Sample Characteristic Ontology Term[individual]"	"Sample Characteristic[strain]"	"Sample Characteristic Ontology Term[strain]"	"Sample Characteristic[age]"	"Sample Characteristic Ontology Term[age]"	"Sample Characteristic[sex]"	"Sample Characteristic Ontology Term[sex]"	"Sample Characteristic[organism part]"	"Sample Characteristic Ontology Term[organism part]"	"Sample Characteristic[cell type]"	"Sample Characteristic Ontology Term[cell type]"	"Sample Characteristic[stimulus]"	"Sample Characteristic Ontology Term[stimulus]"	"Factor Value[single cell identifier]"	"Factor Value Ontology Term[single cell identifier]"	"Factor Value[strain]"	"Factor Value Ontology Term[strain]"	"Factor Value[age]"	"Factor Value Ontology Term[age]"	"Factor Value[stimulus]"	"Factor Value Ontology Term[stimulus]"	"Factor Value[cell type]"	"Factor Value Ontology Term[cell type]"
"ERR1825207"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"B6 old 3"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"16.7 month"		"male"	"http://purl.obolibrary.org/obo/PATO_0000384"	"spleen"	"http://purl.obolibrary.org/obo/UBERON_0002106"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"	"anti-CD3e and anti-CD28 for 3 hours"		"do10908"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"16.7 month"		"anti-CD3e and anti-CD28 for 3 hours"		"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"
"ERR1825208"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"B6 old 3"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"16.7 month"		"male"	"http://purl.obolibrary.org/obo/PATO_0000384"	"spleen"	"http://purl.obolibrary.org/obo/UBERON_0002106"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"	"anti-CD3e and anti-CD28 for 3 hours"		"do10909"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"16.7 month"		"anti-CD3e and anti-CD28 for 3 hours"		"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"
"ERR1825209"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"B6 old 3"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"16.7 month"		"male"	"http://purl.obolibrary.org/obo/PATO_0000384"	"spleen"	"http://purl.obolibrary.org/obo/UBERON_0002106"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"	"anti-CD3e and anti-CD28 for 3 hours"		"do10910"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"16.7 month"		"anti-CD3e and anti-CD28 for 3 hours"		"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"
"ERR1825210"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"B6 old 3"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"16.7 month"		"male"	"http://purl.obolibrary.org/obo/PATO_0000384"	"spleen"	"http://purl.obolibrary.org/obo/UBERON_0002106"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"	"anti-CD3e and anti-CD28 for 3 hours"		"do10911"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"16.7 month"		"anti-CD3e and anti-CD28 for 3 hours"		"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"
"ERR1825211"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"B6 old 3"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"16.7 month"		"male"	"http://purl.obolibrary.org/obo/PATO_0000384"	"spleen"	"http://purl.obolibrary.org/obo/UBERON_0002106"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"	"anti-CD3e and anti-CD28 for 3 hours"		"do10912"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"16.7 month"		"anti-CD3e and anti-CD28 for 3 hours"		"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"
"ERR1825212"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"B6 old 3"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"16.7 month"		"male"	"http://purl.obolibrary.org/obo/PATO_0000384"	"spleen"	"http://purl.obolibrary.org/obo/UBERON_0002106"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"	"anti-CD3e and anti-CD28 for 3 hours"		"do10913"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"16.7 month"		"anti-CD3e and anti-CD28 for 3 hours"		"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"
"ERR1825213"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"B6 old 3"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"16.7 month"		"male"	"http://purl.obolibrary.org/obo/PATO_0000384"	"spleen"	"http://purl.obolibrary.org/obo/UBERON_0002106"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"	"anti-CD3e and anti-CD28 for 3 hours"		"do10914"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"16.7 month"		"anti-CD3e and anti-CD28 for 3 hours"		"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"
"ERR1825214"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"B6 old 3"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"16.7 month"		"male"	"http://purl.obolibrary.org/obo/PATO_0000384"	"spleen"	"http://purl.obolibrary.org/obo/UBERON_0002106"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"	"anti-CD3e and anti-CD28 for 3 hours"		"do10915"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"16.7 month"		"anti-CD3e and anti-CD28 for 3 hours"		"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"
"ERR1825215"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"B6 old 3"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"16.7 month"		"male"	"http://purl.obolibrary.org/obo/PATO_0000384"	"spleen"	"http://purl.obolibrary.org/obo/UBERON_0002106"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"	"anti-CD3e and anti-CD28 for 3 hours"		"do10916"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"16.7 month"		"anti-CD3e and anti-CD28 for 3 hours"		"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"
"ERR1825216"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"B6 old 3"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"16.7 month"		"male"	"http://purl.obolibrary.org/obo/PATO_0000384"	"spleen"	"http://purl.obolibrary.org/obo/UBERON_0002106"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"	"anti-CD3e and anti-CD28 for 3 hours"		"do10917"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"16.7 month"		"anti-CD3e and anti-CD28 for 3 hours"		"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"
"ERR1825217"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"B6 old 3"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"16.7 month"		"male"	"http://purl.obolibrary.org/obo/PATO_0000384"	"spleen"	"http://purl.obolibrary.org/obo/UBERON_0002106"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"	"anti-CD3e and anti-CD28 for 3 hours"		"do10918"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"16.7 month"		"anti-CD3e and anti-CD28 for 3 hours"		"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"
"ERR1825218"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"B6 old 3"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"16.7 month"		"male"	"http://purl.obolibrary.org/obo/PATO_0000384"	"spleen"	"http://purl.obolibrary.org/obo/UBERON_0002106"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"	"anti-CD3e and anti-CD28 for 3 hours"		"do10919"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"16.7 month"		"anti-CD3e and anti-CD28 for 3 hours"		"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"
"ERR1825219"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"B6 old 4"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"16.7 month"		"male"	"http://purl.obolibrary.org/obo/PATO_0000384"	"spleen"	"http://purl.obolibrary.org/obo/UBERON_0002106"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"	"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"do10920"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"16.7 month"		"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"
"ERR1825220"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"B6 old 4"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"16.7 month"		"male"	"http://purl.obolibrary.org/obo/PATO_0000384"	"spleen"	"http://purl.obolibrary.org/obo/UBERON_0002106"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"	"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"do10921"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"16.7 month"		"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"
"ERR1825221"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"B6 old 4"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"16.7 month"		"male"	"http://purl.obolibrary.org/obo/PATO_0000384"	"spleen"	"http://purl.obolibrary.org/obo/UBERON_0002106"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"	"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"do10922"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"16.7 month"		"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"
"ERR1825222"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"B6 old 4"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"16.7 month"		"male"	"http://purl.obolibrary.org/obo/PATO_0000384"	"spleen"	"http://purl.obolibrary.org/obo/UBERON_0002106"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"	"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"do10923"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"16.7 month"		"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"
"ERR1825223"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"B6 old 4"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"16.7 month"		"male"	"http://purl.obolibrary.org/obo/PATO_0000384"	"spleen"	"http://purl.obolibrary.org/obo/UBERON_0002106"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"	"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"do10924"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"16.7 month"		"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"
"ERR1825224"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"B6 old 4"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"16.7 month"		"male"	"http://purl.obolibrary.org/obo/PATO_0000384"	"spleen"	"http://purl.obolibrary.org/obo/UBERON_0002106"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"	"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"do10925"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"16.7 month"		"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"
"ERR1825225"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"B6 old 4"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"16.7 month"		"male"	"http://purl.obolibrary.org/obo/PATO_0000384"	"spleen"	"http://purl.obolibrary.org/obo/UBERON_0002106"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"	"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"do10926"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"16.7 month"		"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"
"ERR1825226"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"B6 old 4"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"16.7 month"		"male"	"http://purl.obolibrary.org/obo/PATO_0000384"	"spleen"	"http://purl.obolibrary.org/obo/UBERON_0002106"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"	"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"do10927"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"16.7 month"		"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"
"ERR1825227"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"B6 old 4"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"16.7 month"		"male"	"http://purl.obolibrary.org/obo/PATO_0000384"	"spleen"	"http://purl.obolibrary.org/obo/UBERON_0002106"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"	"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"do10928"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"16.7 month"		"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"
"ERR1825228"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"B6 old 4"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"16.7 month"		"male"	"http://purl.obolibrary.org/obo/PATO_0000384"	"spleen"	"http://purl.obolibrary.org/obo/UBERON_0002106"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"	"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"do10929"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"16.7 month"		"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"
"ERR1825229"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"B6 old 4"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"16.7 month"		"male"	"http://purl.obolibrary.org/obo/PATO_0000384"	"spleen"	"http://purl.obolibrary.org/obo/UBERON_0002106"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"	"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"do10930"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"16.7 month"		"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"
"ERR1825230"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"B6 old 4"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"16.7 month"		"male"	"http://purl.obolibrary.org/obo/PATO_0000384"	"spleen"	"http://purl.obolibrary.org/obo/UBERON_0002106"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"	"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"do10931"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"16.7 month"		"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"
"ERR1825231"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"B6 old 4"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"16.7 month"		"male"	"http://purl.obolibrary.org/obo/PATO_0000384"	"spleen"	"http://purl.obolibrary.org/obo/UBERON_0002106"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"	"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"do10932"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"16.7 month"		"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"
"ERR1825232"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"B6 old 4"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"16.7 month"		"male"	"http://purl.obolibrary.org/obo/PATO_0000384"	"spleen"	"http://purl.obolibrary.org/obo/UBERON_0002106"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"	"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"do10933"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"16.7 month"		"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"
"ERR1825233"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"B6 old 4"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"16.7 month"		"male"	"http://purl.obolibrary.org/obo/PATO_0000384"	"spleen"	"http://purl.obolibrary.org/obo/UBERON_0002106"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"	"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"do10934"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"16.7 month"		"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"
"ERR1825234"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"B6 old 4"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"16.7 month"		"male"	"http://purl.obolibrary.org/obo/PATO_0000384"	"spleen"	"http://purl.obolibrary.org/obo/UBERON_0002106"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"	"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"do10935"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"16.7 month"		"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"
"ERR1825235"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"B6 old 4"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"16.7 month"		"male"	"http://purl.obolibrary.org/obo/PATO_0000384"	"spleen"	"http://purl.obolibrary.org/obo/UBERON_0002106"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"	"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"do10936"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"16.7 month"		"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"
"ERR1825236"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"B6 old 4"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"16.7 month"		"male"	"http://purl.obolibrary.org/obo/PATO_0000384"	"spleen"	"http://purl.obolibrary.org/obo/UBERON_0002106"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"	"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"do10937"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"16.7 month"		"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"
"ERR1825237"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"B6 old 4"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"16.7 month"		"male"	"http://purl.obolibrary.org/obo/PATO_0000384"	"spleen"	"http://purl.obolibrary.org/obo/UBERON_0002106"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"	"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"do10938"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"16.7 month"		"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"
"ERR1825238"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"B6 old 4"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"16.7 month"		"male"	"http://purl.obolibrary.org/obo/PATO_0000384"	"spleen"	"http://purl.obolibrary.org/obo/UBERON_0002106"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"	"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"do10939"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"16.7 month"		"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"
"ERR1825239"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"B6 old 4"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"16.7 month"		"male"	"http://purl.obolibrary.org/obo/PATO_0000384"	"spleen"	"http://purl.obolibrary.org/obo/UBERON_0002106"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"	"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"do10940"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"16.7 month"		"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"
"ERR1825240"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"B6 old 4"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"16.7 month"		"male"	"http://purl.obolibrary.org/obo/PATO_0000384"	"spleen"	"http://purl.obolibrary.org/obo/UBERON_0002106"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"	"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"do10941"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"16.7 month"		"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"
"ERR1825241"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"B6 old 4"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"16.7 month"		"male"	"http://purl.obolibrary.org/obo/PATO_0000384"	"spleen"	"http://purl.obolibrary.org/obo/UBERON_0002106"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"	"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"do10942"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"16.7 month"		"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"
"ERR1825242"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"B6 old 4"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"16.7 month"		"male"	"http://purl.obolibrary.org/obo/PATO_0000384"	"spleen"	"http://purl.obolibrary.org/obo/UBERON_0002106"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"	"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"do10943"		"C57BL/6"	"http://www.ebi.ac.uk/efo/EFO_0004472"	"16.7 month"		"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"
