"Assay"	"Sample Characteristic[organism]"	"Sample Characteristic Ontology Term[organism]"	"Sample Characteristic[individual]"	"Sample Characteristic Ontology Term[individual]"	"Sample Characteristic[strain]"	"Sample Characteristic Ontology Term[strain]"	"Sample Characteristic[age]"	"Sample Characteristic Ontology Term[age]"	"Sample Characteristic[sex]"	"Sample Characteristic Ontology Term[sex]"	"Sample Characteristic[organism part]"	"Sample Characteristic Ontology Term[organism part]"	"Sample Characteristic[cell type]"	"Sample Characteristic Ontology Term[cell type]"	"Sample Characteristic[stimulus]"	"Sample Characteristic Ontology Term[stimulus]"	"Factor Value[single cell identifier]"	"Factor Value Ontology Term[single cell identifier]"	"Factor Value[strain]"	"Factor Value Ontology Term[strain]"	"Factor Value[age]"	"Factor Value Ontology Term[age]"	"Factor Value[stimulus]"	"Factor Value Ontology Term[stimulus]"	"Factor Value[cell type]"	"Factor Value Ontology Term[cell type]"
"ERR1525468"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"CAST young 1"		"CAST/EiJ"	"http://www.ebi.ac.uk/efo/EFO_0007727"	"3.3 month"		"male"	"http://purl.obolibrary.org/obo/PATO_0000384"	"spleen"	"http://purl.obolibrary.org/obo/UBERON_0002106"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"	"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"do4756"		"CAST/EiJ"	"http://www.ebi.ac.uk/efo/EFO_0007727"	"3.3 month"		"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"
"ERR1525469"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"CAST young 1"		"CAST/EiJ"	"http://www.ebi.ac.uk/efo/EFO_0007727"	"3.3 month"		"male"	"http://purl.obolibrary.org/obo/PATO_0000384"	"spleen"	"http://purl.obolibrary.org/obo/UBERON_0002106"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"	"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"do4757"		"CAST/EiJ"	"http://www.ebi.ac.uk/efo/EFO_0007727"	"3.3 month"		"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"
"ERR1525470"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"CAST young 1"		"CAST/EiJ"	"http://www.ebi.ac.uk/efo/EFO_0007727"	"3.3 month"		"male"	"http://purl.obolibrary.org/obo/PATO_0000384"	"spleen"	"http://purl.obolibrary.org/obo/UBERON_0002106"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"	"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"do4758"		"CAST/EiJ"	"http://www.ebi.ac.uk/efo/EFO_0007727"	"3.3 month"		"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"
"ERR1525471"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"CAST young 1"		"CAST/EiJ"	"http://www.ebi.ac.uk/efo/EFO_0007727"	"3.3 month"		"male"	"http://purl.obolibrary.org/obo/PATO_0000384"	"spleen"	"http://purl.obolibrary.org/obo/UBERON_0002106"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"	"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"do4759"		"CAST/EiJ"	"http://www.ebi.ac.uk/efo/EFO_0007727"	"3.3 month"		"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"
"ERR1525472"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"CAST young 1"		"CAST/EiJ"	"http://www.ebi.ac.uk/efo/EFO_0007727"	"3.3 month"		"male"	"http://purl.obolibrary.org/obo/PATO_0000384"	"spleen"	"http://purl.obolibrary.org/obo/UBERON_0002106"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"	"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"do4760"		"CAST/EiJ"	"http://www.ebi.ac.uk/efo/EFO_0007727"	"3.3 month"		"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"
"ERR1525473"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"CAST young 1"		"CAST/EiJ"	"http://www.ebi.ac.uk/efo/EFO_0007727"	"3.3 month"		"male"	"http://purl.obolibrary.org/obo/PATO_0000384"	"spleen"	"http://purl.obolibrary.org/obo/UBERON_0002106"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"	"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"do4761"		"CAST/EiJ"	"http://www.ebi.ac.uk/efo/EFO_0007727"	"3.3 month"		"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"
"ERR1525474"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"CAST young 1"		"CAST/EiJ"	"http://www.ebi.ac.uk/efo/EFO_0007727"	"3.3 month"		"male"	"http://purl.obolibrary.org/obo/PATO_0000384"	"spleen"	"http://purl.obolibrary.org/obo/UBERON_0002106"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"	"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"do4762"		"CAST/EiJ"	"http://www.ebi.ac.uk/efo/EFO_0007727"	"3.3 month"		"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"
"ERR1525475"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"CAST young 1"		"CAST/EiJ"	"http://www.ebi.ac.uk/efo/EFO_0007727"	"3.3 month"		"male"	"http://purl.obolibrary.org/obo/PATO_0000384"	"spleen"	"http://purl.obolibrary.org/obo/UBERON_0002106"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"	"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"do4763"		"CAST/EiJ"	"http://www.ebi.ac.uk/efo/EFO_0007727"	"3.3 month"		"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"
"ERR1525476"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"CAST young 1"		"CAST/EiJ"	"http://www.ebi.ac.uk/efo/EFO_0007727"	"3.3 month"		"male"	"http://purl.obolibrary.org/obo/PATO_0000384"	"spleen"	"http://purl.obolibrary.org/obo/UBERON_0002106"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"	"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"do4764"		"CAST/EiJ"	"http://www.ebi.ac.uk/efo/EFO_0007727"	"3.3 month"		"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"
"ERR1525477"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"CAST young 1"		"CAST/EiJ"	"http://www.ebi.ac.uk/efo/EFO_0007727"	"3.3 month"		"male"	"http://purl.obolibrary.org/obo/PATO_0000384"	"spleen"	"http://purl.obolibrary.org/obo/UBERON_0002106"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"	"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"do4765"		"CAST/EiJ"	"http://www.ebi.ac.uk/efo/EFO_0007727"	"3.3 month"		"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"
