,num epoch,Loss_gmcm,Loss_total,recon_loss,zinb_loss
267,268,59.435345,60.73561,1.1936891,0.9709779
268,269,59.488525,60.787365,1.1922643,0.9709779
269,270,60.090816,61.39443,1.1970434,0.9709779
270,271,60.190994,61.50173,1.2041676,0.9709779
271,272,59.51152,60.793438,1.1753552,0.9709779
272,273,60.169426,61.466446,1.1904595,0.9709779
273,274,60.201992,61.50567,1.1971307,0.9709779
274,275,60.10455,61.43069,1.219605,0.9709779
275,276,60.117676,61.438618,1.2144125,0.9709779
276,277,60.01881,61.34842,1.2230787,0.9709779
277,278,60.005375,61.322697,1.210793,0.9709779
278,279,59.80216,61.13894,1.2302606,0.9709779
279,280,59.92677,61.25887,1.2255859,0.9709779
280,281,59.828796,61.16778,1.2324743,0.9709779
281,282,59.993656,61.34625,1.2460892,0.9709779
282,283,59.673447,61.00329,1.2233427,0.9709779
283,284,59.95233,61.322414,1.2635881,0.9709779
284,285,59.779533,61.11643,1.2303926,0.9709779
285,286,59.72431,61.074566,1.243747,0.9709779
286,287,59.673412,61.010338,1.2304145,0.9709779
287,288,59.61247,60.939423,1.2204399,0.9709779
288,289,59.5822,60.906406,1.2176919,0.9709779
289,290,59.548492,60.861538,1.2065256,0.9709779
290,291,59.51694,60.832638,1.2091721,0.9709779
291,292,59.47798,60.780193,1.1956854,0.9709779
292,293,59.47358,60.792824,1.2127149,0.9709779
293,294,59.418224,60.71968,1.1949207,0.9709779
294,295,59.44255,60.756508,1.207419,0.9709779
295,296,59.41409,60.72609,1.2054577,0.9709779
296,297,59.37656,60.699387,1.2162784,0.9709779
297,298,59.37741,60.689384,1.2054244,0.9709779
298,299,59.353783,60.643955,1.1836212,0.9709779
299,300,59.336365,60.65755,1.2146289,0.9709779
